prefix,total_occurrences,pct_corpus,dominant_position,proposed_semantic_field,proposed_french_field,top_words,currier_a_density,currier_b_density,template_phase,latin_equivalent_candidates,confidence,notes
qok-,1105,2.91,beginning_middle,botanical_identification,identification botanique,"qokeedy(301),qokain(277),qokedy(265),qokaiin(262)",high,medium,1-Identification,"herba, planta, radix",medium,"Concentrated in herbal pages. First word on many botanical pages is qok- family. Consistent with plant naming function."
sh-,875,2.31,middle,preparation_instruction,instruction de préparation,"shedy(424),shey(276),shol(175)",medium,medium,3-Preparation,"folia, aqua, solvere, infundere",medium,"Associated with leaves (shedy), water/pouring (shey), sun/dissolving (shol). Mid-paragraph clustering."
ch-,1421,3.75,distributed,description_parts,description des parties,"chedy(495),chol(381),chey(339),chor(206)",high,high,2-Description,"ramus, cortex, succus, miscere",medium,"Most frequent prefix family. Broadly distributed. Associated with plant parts (branches, bark, sap) and mixing."
ot-,499,1.32,end,medical_application,usage médical,"otedy(154),otaiin(150),otar(145)",medium,low,4-Medical_Use,"remedium, unguentum, praeparatio",medium,"End-of-paragraph concentration. Strongly associated with therapeutic conclusions. otar as 'remedy' marker."
ok-,317,0.84,end,medical_preparation,préparation médicale,"okeey(138),okaiin(134),okeol(45)",medium,low,4-Medical_Use,"unguentum, balsamum, lotio",medium,"Late-paragraph position. Medical application forms: ointment, balm, lotion."
cth-,194,0.51,beginning,description_habitat,description habitat/racine,"cthor(142),cthey(52),cthol(~30),cthres(~25)",high,low,2-Description,"radix, terra, caulis",medium,"Beginning-of-paragraph. Root/earth descriptions. cth- gallows character suggests marked category."
dai-,899,2.37,line_initial,transitional_marker,marqueur transitionnel,"daiin(866),dain(33)",very_high_A,medium_B,3-Transition,"item, deinde, praeterea",high,"Strongest positional signal. >20% line-initial. Every ~19 words in Currier A vs ~50-60 in B. Best candidate for Latin 'item'."
d-,602,1.59,distributed,connector_temporal,connecteur temporel,"dal(236),dar(198),dol(168)",medium,medium,3-Connector,"de, dare, dolor",low,"Mixed category. May include prepositions (dal≈de illa), verbs (dar≈dare), and nouns (dol≈dolor)."
y-,89,0.23,beginning,astronomical_temporal,astronomique/temporel,"ytaiin(89)",low,very_low,1-Description,"stella, nox, tempus",low,"Rare prefix. Possibly astronomical (star) or temporal reference. Concentrated in specific sections."
k-,78,0.21,beginning,instruction_opening,ouverture d'instruction,"kaiin(78)",low,low,3-Preparation,"recipe, accipe, capere",medium,"Possibly equivalent to pharmaceutical 'Recipe' (Take). Opening instruction marker."
